"SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean.all","CT_sd.all","Qty_ng_per_ul_mean.all","Qty_ng_per_ul_sd.all","n_qpcrs.all","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr.all","G_corr_qpcr.all"
"44B",2016-08-05,"Auk5",44,"B","upstream",31.4841340591728,10.6231106320977,0.00154869382580121,9.93696110889129e-05,822,NA,5,9,0,14,2016-08-05,21.66,15.96,13.9221254892267,16.2643333333333,0.00018233199270951,0.00146803974909647
"45B",2016-08-06,"Auk5",45,"B","upstream",31.4841340591728,10.6231106320977,0.00556013220921159,0.000371489484074861,822,NA,8,18,1,27,2016-08-06,21.58,15,11.6157774490273,16.68775,0.000546166638316835,0.00525110079101908
"46B",2016-08-07,"Auk5",46,"B","upstream",31.4841340591728,10.6231106320977,0.00267752368624012,0.00032427233147698,822,NA,5,4,0,9,2016-08-07,21.49,13.92,9.40044844027834,16.8674166666667,0.000212850002986516,0.00251816122614005
"47B",2016-08-08,"Auk5",47,"B","upstream",31.4841340591728,10.6231106320977,0.00110392877832055,9.71041148411592e-05,822,NA,10,8,0,18,2016-08-08,21.4,12.84,7.53949373196175,16.5184166666667,7.0384172180068e-05,0.0010338764050792
"48B",2016-08-09,"Auk5",48,"B","upstream",31.4841340591728,10.6231106320977,0.00344782035487394,0.000398674060841438,822,NA,3,9,1,13,2016-08-09,21.66,15.96,13.9221254892267,16.2562916666667,0.000405921393457705,0.00326826209569232
"49B",2016-08-10,"Auk5",49,"B","upstream",31.4841340591728,10.6231106320977,0.00148266313287119,0.00023081705109822,822,NA,9,5,0,14,2016-08-10,21.71,16.56,15.5420386200685,16.2245,0.000194868768233848,0.00140869219320059
"50B",2016-08-11,"Auk5",50,"B","upstream",31.4841340591728,10.6231106320977,0.00895431637763977,0.000337424999393179,822,NA,5,7,0,12,2016-08-11,21.97,19.68,26.6040113253618,15.5187916666667,0.00201451880827469,0.00860946743180506
"51B",2016-08-12,"Auk5",51,"B","upstream",31.4841340591728,10.6231106320977,0.0150528152783712,0.00112378132516679,822,NA,2,5,0,7,2016-08-12,22.04,20.52,30.4701193540974,15.8439166666667,0.00387867735855267,0.0145192143866652
"52B",2016-08-13,"Auk5",52,"B","upstream",31.4841340591728,10.6231106320977,0.0036016257169346,0.000167974264889303,822,NA,2,2,0,4,2016-08-13,21.98,19.8,27.1306486371505,15.863,0.000826324297525162,0.00346449598504256
"53B",2016-08-14,"Auk5",53,"B","upstream",31.4841340591728,10.6231106320977,0.0107774877299865,0.000351373862390559,822,NA,1,5,0,6,2016-08-14,22.06,20.76,31.6541985796308,15.1095416666667,0.00288496552042004,0.0104048743686434
"54B",2016-08-15,"Auk6",54,"B","upstream",31.4841340591728,10.6231106320977,0.00490716115261118,0.000839639081155511,822,NA,0,3,0,3,2016-08-15,22.04,20.52,30.4701193540974,15.2307916666667,0.0012644342274465,0.00473320926930198
"55B",2016-08-16,"Auk6",55,"B","upstream",31.4841340591728,10.6231106320977,0.00257353554479778,0.000210784398236387,822,NA,0,2,0,2,2016-08-16,22.01,20.16,28.7612732194829,15.4553333333333,0.000625936167022352,0.00247892854884022
"56B",2016-08-17,"Auk6",56,"B","upstream",31.4841340591728,10.6231106320977,0.00312190083786845,0.000338702764281066,822,NA,0,1,0,1,2016-08-17,21.92,19.08,24.0931062916157,15.8276666666667,0.000636068177456701,0.00299483879063792
"57B",2016-08-18,"Auk6",57,"B","upstream",31.4841340591728,10.6231106320977,0.00239927958076199,0.000508404718582379,822,NA,0,0,0,0,2016-08-18,21.79,17.52,18.4477703929082,15.9765416666667,0.000374297141116223,0.00228797820852533
"58B",2016-08-19,"Auk6",58,"B","upstream",31.4841340591728,10.6231106320977,0.00417915692863365,0.000476141147055734,822,NA,1,2,0,3,2016-08-19,21.92,19.08,24.0931062916157,15.8447916666667,0.000851477631402448,0.00400906432716191
"59B",2016-08-20,"Auk6",59,"B","upstream",31.4841340591728,10.6231106320977,0.00602267791206638,0.000476122366869513,822,NA,0,1,0,1,2016-08-20,21.83,18,20.0567189140916,16.097375,0.00102150687435852,0.00575383189586035
"60B",2016-08-21,"Auk6",60,"B","upstream",31.4841340591728,10.6231106320977,0.0048050278176864,0.000629252336596081,822,NA,0,2,0,2,2016-08-21,21.71,16.56,15.5420386200685,15.7439583333333,0.000631532430666617,0.00456530214100533
"61B",2016-08-22,"Auk6",61,"B","upstream",31.4841340591728,10.6231106320977,0.00353750159653525,0.000527896022400602,822,NA,1,0,0,1,2016-08-22,21.62,15.48,12.7268228295138,16.2489583333333,0.000380722383163411,0.0033470802852119
"62B",2016-08-23,"Auk6",62,"B","upstream",31.4841340591728,10.6231106320977,0.00368673098273575,0.000130444550636404,822,NA,0,1,0,1,2016-08-23,21.6,15.24,12.1610596309267,16.1852916666667,0.000379144389838752,0.00348504985676553
"63B",2016-08-24,"Auk6",63,"B","upstream",31.4841340591728,10.6231106320977,0.00499709043651819,0.000463668362377229,822,NA,1,1,0,2,2016-08-24,21.67,16.08,14.234672414277,16.2011666666667,0.000601528839469334,0.00473903500040916
"64B",2016-08-25,"Auk6",64,"B","upstream",31.4841340591728,10.6231106320977,0.00338320946320891,0.000501272632500854,822,NA,0,1,0,1,2016-08-25,21.76,17.16,17.3108214962622,16.0029583333333,0.000495265792153122,0.00322182222842127
"65B",2016-08-26,"Auk6",65,"B","upstream",31.4841340591728,10.6231106320977,0.00598832794154684,0.000281974493578975,822,NA,0,0,0,0,2016-08-26,21.85,18.24,20.902623938807,15.7555833333333,0.00105851776325498,0.00572625669684019
"66B",2016-08-27,"Auk7",66,"B","upstream",31.4841340591728,10.6231106320977,0.00492179331680139,0.000393052784950229,822,NA,0,0,0,0,2016-08-27,21.9,18.84,23.1439845579245,16.5340416666667,0.000963281612822635,0.00471716733645297
"67B",2016-08-28,"Auk7",67,"B","upstream",31.4841340591728,10.6231106320977,0.00745980100085338,0.000678731342050674,822,NA,0,0,0,0,2016-08-28,21.83,18,20.0567189140916,16.86375,0.00126525743447964,0.00712680331941485
"68B",2016-08-29,"Auk7",68,"B","upstream",31.4841340591728,10.6231106320977,0.00259349045033256,0.000337357969496482,822,NA,0,0,0,0,2016-08-29,21.7,16.44,15.2064645201659,16.67975,0.000333506784847431,0.00246296467274471
"69B",2016-08-30,"Auk7",69,"B","upstream",31.4841340591728,10.6231106320977,0.00309505189458529,0.00020304860763739,822,NA,0,0,0,0,2016-08-30,21.58,15,11.6157774490273,16.229625,0.000304024081636271,0.00292302931663679
"70B",2016-08-31,"Auk7",70,"B","upstream",31.4841340591728,10.6231106320977,0.00163881329353899,0.000425851085302693,822,NA,0,0,0,0,2016-08-31,21.49,13.92,9.40044844027834,16.2905,0.000130277620406019,0.00154127342136336
"71B",2016-09-01,"Auk7",71,"B","upstream",31.4841340591728,10.6231106320977,0.00212884640010695,0.000237002783395981,822,NA,0,0,0,0,2016-09-01,21.49,13.92,9.40044844027834,15.9037083333333,0.000169232849348531,0.0020021404436892
"72B",2016-09-02,"Auk7",72,"B","upstream",31.4841340591728,10.6231106320977,0.00160552860082438,2.7190865661435e-05,822,NA,0,0,0,0,2016-09-02,21.39,12.72,7.35260512573837,16.2445833333333,9.98276980139874e-05,0.00150294340357258
"73B",2016-09-03,"Auk7",73,"B","upstream",31.4841340591728,10.6231106320977,0.000783360485608379,0.000167157976167471,822,NA,0,1,0,1,2016-09-03,21.36,12.36,6.81425670792916,16.2296666666667,4.5141077241079e-05,0.000732279211054485
"74B",2016-09-04,"Auk7",74,"B","upstream",31.4841340591728,10.6231106320977,0.0016534086316824,0.000330038297965036,822,NA,0,0,0,0,2016-09-04,21.31,11.76,5.98800521772344,16.16025,8.3724803722073e-05,0.00154197540223859
"75B",2016-09-05,"Auk7",75,"B","upstream",31.4841340591728,10.6231106320977,0.00109272139767806,0.000158151989321502,822,NA,0,0,0,0,2016-09-05,21.25,11.04,5.10527811429492,15.823125,4.71759463177212e-05,0.00101620698908791
"76B",2016-09-06,"Auk7",76,"B","upstream",31.4841340591728,10.6231106320977,0.00333461646611492,0.00031390017357171,822,NA,0,0,0,0,2016-09-06,21.7,16.44,15.2064645201659,14.82675,0.000428810993374078,0.0031667911297459
"77B",2016-09-07,"Auk7",77,"B","upstream",31.4841340591728,10.6231106320977,0.00155088084284216,0.000308435604129729,822,NA,0,0,0,0,2016-09-07,22.01,20.16,28.7612732194829,14.775875,0.00037720575192339,0.00149386815540289
"78B",2016-09-08,"Auk7",78,"B","upstream",31.4841340591728,10.6231106320977,0.00164865027181804,2.92323357712519e-05,822,NA,0,0,0,0,2016-09-08,21.92,19.08,24.0931062916157,14.5065833333333,0.000335902396686881,0.00158154984500006
"79B",2016-09-09,"Auk7",79,"B","upstream",31.4841340591728,10.6231106320977,0.00150652994246533,0.000271371681358704,822,NA,0,0,0,0,2016-09-09,21.94,19.32,25.0734062229019,13.70075,0.000319435274121316,0.00144653246992075
"80B",2016-09-10,"Auk8",80,"B","upstream",31.4841340591728,10.6231106320977,0.00214894379799565,0.000120650863336822,822,NA,0,0,0,0,2016-09-10,22.85,30.24,118.251928620921,13.1884583333333,0.00214894379799565,0.00214894379799565
"81B",2016-09-11,"Auk8",81,"B","upstream",31.4841340591728,10.6231106320977,0.00173183984588832,0.000234045116726448,822,NA,1,1,0,2,2016-09-11,22.46,25.56,64.3190658100937,13.2789166666667,0.000941974666453994,0.00170228109140707
"82B",2016-09-12,"Auk8",82,"B","upstream",31.4841340591728,10.6231106320977,0.00119972326016674,8.19541196994963e-05,822,NA,0,0,0,0,2016-09-12,22.09,21.12,33.4997251360014,13.3337083333333,0.000339870984968808,0.0011598199919949
"83B",2016-09-13,"Auk8",83,"B","upstream",31.4841340591728,10.6231106320977,0.00106019617912049,0.000312737846118631,822,NA,0,0,0,0,2016-09-13,22.4,24.84,58.1768774186223,12.7847083333333,0.000521588982705798,0.00103931704211374
"84B",2016-09-14,"Auk8",84,"B","upstream",31.4841340591728,10.6231106320977,0.00152043835259974,0.000328341481127085,822,NA,0,0,0,0,2016-09-14,22.19,22.32,40.2889790508992,13.0860833333333,0.000518020379459903,0.00147652197129927
"85B",2016-09-15,"Auk8",85,"B","upstream",31.4841340591728,10.6231106320977,0.00233587281157573,6.40345854738509e-05,822,NA,0,0,0,0,2016-09-15,22.39,24.72,57.2008994790292,12.626625,0.00112990990886133,0.00228884867620046
"86B",2016-09-16,"Auk8",86,"B","upstream",31.4841340591728,10.6231106320977,0.00121626335506638,9.7807524045413e-05,822,NA,0,0,0,0,2016-09-16,22.7,28.44,94.3467437013191,12.27075,0.000970389983250158,0.00120827913172896
"87B",2016-09-17,"Auk8",87,"B","upstream",31.4841340591728,10.6231106320977,0.00092069220651562,8.67919385892912e-05,822,NA,0,1,0,1,2016-09-17,22.38,24.6,56.2381828843633,12.15175,0.000437862259787898,0.000901754555003045
"88B",2016-09-18,"Auk8",88,"B","upstream",31.4841340591728,10.6231106320977,0.000548053794773296,0.000109516408516855,822,NA,0,0,0,0,2016-09-18,22.22,22.68,42.5289278815241,12.0467916666667,0.00019710579425582,0.000532943340037752
"89B",2016-09-19,"Auk8",89,"B","upstream",31.4841340591728,10.6231106320977,0.000682762358337641,0.000127995611377298,822,NA,0,0,0,0,2016-09-19,22.03,20.4,29.8916397470467,12.1544583333333,0.000172588191045048,0.000658260601933402
"90B",2016-09-20,"Auk8",90,"B","upstream",31.4841340591728,10.6231106320977,0.000535490389059608,9.90580436378543e-05,822,NA,0,0,0,0,2016-09-20,21.89,18.72,22.6808772752191,12.1587916666667,0.000102707769234401,0.000512992762210714
"91B",2016-09-21,"Auk8",91,"B","upstream",31.4841340591728,10.6231106320977,0.000424282838745664,5.34890186814044e-05,822,NA,0,0,0,0,2016-09-21,21.77,17.28,17.6833314055795,12.0725,6.34470332512805e-05,0.000404229207855278
"92B",2016-09-22,"Auk8",92,"B","upstream",31.4841340591728,10.6231106320977,0.000527589125946785,0.000117659006001745,822,NA,0,0,0,0,2016-09-22,21.66,15.96,13.9221254892267,11.77325,6.21145219688461e-05,0.000500112930766186
"93B",2016-09-23,"Auk9",93,"B","upstream",31.4841340591728,10.6231106320977,0.000383204343961552,2.65071232312147e-05,822,NA,0,0,0,0,2016-09-23,21.77,17.28,17.6833314055795,11.4719166666667,5.73041766790343e-05,0.000365092278688971
"94B",2016-09-24,"Auk9",94,"B","upstream",31.4841340591728,10.6231106320977,0.000300447553551445,5.17925277834056e-05,822,NA,0,0,0,0,2016-09-24,21.72,16.68,15.8835660445454,11.2309583333333,4.03560315287087e-05,0.00028558953449179
"95B",2016-09-25,"Auk9",95,"B","upstream",31.4841340591728,10.6231106320977,0.000156580436547908,3.2357539511054e-05,822,NA,0,0,0,0,2016-09-25,21.98,19.8,27.1306486371505,11.0031666666667,3.59243934282976e-05,0.000150618730648709
"96B",2016-09-26,"Auk9",96,"B","upstream",31.4841340591728,10.6231106320977,0.000126125754225844,4.61214807271815e-05,822,NA,0,0,0,0,2016-09-26,21.92,19.08,24.0931062916157,11.0915,2.5697350039971e-05,0.000120992408430219
"97B",2016-09-27,"Auk9",97,"B","upstream",31.4841340591728,10.6231106320977,0.000104844621091615,2.90172603775915e-05,822,NA,0,0,0,0,2016-09-27,21.8,17.64,18.8398693187806,11.0472916666667,1.67038202520585e-05,0.000100026815746049
"98B",2016-09-28,"Auk9",98,"B","upstream",31.4841340591728,10.6231106320977,0.000295468450834354,2.05312434166122e-05,822,NA,0,0,0,0,2016-09-28,21.75,17.04,16.9446726714305,10.8120833333333,4.23385583855672e-05,0.000281244586680402
"99B",2016-09-29,"Auk9",99,"B","upstream",31.4841340591728,10.6231106320977,7.21600251078295e-05,2.17483416475553e-05,822,NA,0,0,0,0,2016-09-29,21.66,15.96,13.9221254892267,10.6349166666667,8.49559864750673e-06,6.84020194238769e-05
"100B",2016-09-30,"Auk9",100,"B","upstream",31.4841340591728,10.6231106320977,4.14091712931016e-05,2.79665226494282e-06,822,NA,0,0,0,0,2016-09-30,21.59,15.12,11.8858942601837,10.5938333333333,4.16217339650699e-06,3.91257771649043e-05
"101B",2016-10-01,"Auk9",101,"B","upstream",31.4841340591728,10.6231106320977,0.000459248723927885,7.01685671263105e-05,822,NA,0,0,0,0,2016-10-01,21.5,14.04,9.62823420248948,10.089125,3.73926609294205e-05,0.000432115867153152
"102B",2016-10-02,"Auk9",102,"B","upstream",31.4841340591728,10.6231106320977,0.000174979810253717,1.74224489159944e-05,822,NA,0,0,0,0,2016-10-02,21.45,13.44,8.53237360424962,9.81179166666667,1.2625528663228e-05,0.000164258946605787
"103B",2016-10-03,"Auk9",103,"B","upstream",31.4841340591728,10.6231106320977,6.07134582727061e-05,2.04992484060087e-05,822,NA,0,0,0,0,2016-10-03,21.37,12.48,6.99004411758919,9.86429166666667,3.58886114422784e-06,5.67810329666402e-05
"104B",2016-10-04,"Auk9",104,"B","upstream",31.4841340591728,10.6231106320977,0.000148155920517941,1.77655618318521e-05,822,NA,0,0,0,0,2016-10-04,21.32,11.88,6.14641437350269,9.853,7.70074272792784e-06,0.000138235633498578
"105B",2016-10-05,"Auk9",105,"B","upstream",31.4841340591728,10.6231106320977,0.000149910139346806,2.17175236985267e-05,822,NA,0,0,0,0,2016-10-05,21.27,11.28,5.3869664934391,9.88525,6.82915625229945e-06,0.00013954436165893
"106B",2016-10-06,"Auk10",106,"B","upstream",31.4841340591728,10.6231106320977,0.000181428801928026,2.52147219767459e-05,822,NA,0,0,0,0,2016-10-06,21.23,10.8,4.83560308375205,9.83508333333333,7.41905594535386e-06,0.000168566015970765
"107B",2016-10-07,"Auk10",107,"B","upstream",31.4841340591728,10.6231106320977,6.61890699878616e-07,8.47101229955233e-07,822,NA,0,0,0,0,2016-10-07,21.19,10.32,4.33072563412879,9.43816666666667,2.42403405541467e-08,6.13805861287872e-07
"108B",2016-10-08,"Auk10",108,"B","upstream",31.4841340591728,10.6231106320977,8.46841915821036e-05,2.06367077418095e-05,822,NA,0,0,0,0,2016-10-08,21.16,9.96000000000002,3.98073639214129,9.02525,2.85073949491853e-06,7.84208968874097e-05
"109B",2016-10-09,"Auk10",109,"B","upstream",31.4841340591728,10.6231106320977,5.75905687583145e-05,2.56594090213417e-05,822,NA,0,0,0,0,2016-10-09,21.11,9.36000000000001,3.44838511355471,8.59395833333333,1.67941835962738e-06,5.32051162576813e-05
