"","SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean","CT_sd","Qty_ng_per_ul_mean","Qty_ng_per_ul_sd","n_qpcrs","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr","G_corr_qpcr"
"15","16B",2016-07-08,"Auk3",16,"B","upstream",32.3702328999837,0.116020644782376,0.00400357662389676,0.00029598626431583,3,NA,14,4,0,18,2016-07-08,21.27,11.28,5.3869664934391,18.2964583333333,0.0215671331268479,0.085156074790284
"16","17B",2016-07-09,"Auk3",17,"B","upstream",34.0009053548177,0.0499662934597313,0.00140822442093243,4.48068495459541e-05,3,NA,0,0,0,0,2016-07-09,21.2,10.44,4.45275592661551,18.333,0.00627047963631158,0.0298543577237676
"17","18B",2016-07-10,"Auk3",18,"B","upstream",36.1048940022786,0.613054749773738,0.000384852678204576,0.000142375322612333,3,NA,0,0,0,0,2016-07-10,21.16,9.96000000000002,3.98073639214129,18.2805833333333,0.001531997061742,0.00814348267080883
"18","19B",2016-07-11,"Auk3",19,"B","upstream",34.6777025858561,0.0521331763904397,0.000913311261683702,3.06117755656839e-05,3,NA,0,0,0,0,2016-07-11,21.14,9.72000000000003,3.76037290748897,18.0191666666667,0.00343439092453996,0.0193074000719935
"19","20B",2016-07-12,"Auk3",20,"B","upstream",37.8219045003255,0.15783323541887,0.000122517941539021,1.20039381932154e-05,3,NA,0,0,0,0,2016-07-12,21.08,9,3.15763717185713,18.2395833333333,0.00038686720642303,0.00258267820764255
"20","21B",2016-07-13,"Auk3",21,"B","upstream",39.5348815917969,0.394481238404153,4.16544098698068e-05,9.97055325034496e-06,3,NA,0,0,0,0,2016-07-13,21.05,8.64000000000003,2.88700984553577,18.2304166666667,0.000120256691404115,0.000876825327759434
"21","22B",2016-07-14,"Auk3",22,"B","upstream",40.2213745117188,0.905045530569741,2.93805796900415e-05,1.67348372719565e-05,3,NA,0,0,0,0,2016-07-14,21.01,8.16000000000004,2.55561465789962,17.7149583333333,7.50854401134579e-05,0.000617285979287772
"22","23B",2016-07-15,"Auk11",23,"B","upstream",37.5644546508789,0.785496148471439,7.22757533367258e-05,1.46677309786268e-05,5,NA,0,0,0,0,2016-07-15,20.97,7.68000000000001,2.25563331907857,17.3710416666667,0.000163027597387823,0.00151562254747114
"23","24B",2016-07-16,"Auk11",24,"B","upstream",38.4068946838379,1.02622784769944,4.68508505946374e-05,5.148643012823e-06,4,NA,0,0,0,0,2016-07-16,20.95,7.44000000000001,2.11669301691549,17.166625,9.91688682902201e-05,0.000981525319957655
"24","25B",2016-07-17,"Auk3",25,"B","upstream",39.1797205607096,0.904770288068719,5.75078714367313e-05,3.47668074778071e-05,3,NA,0,0,0,0,2016-07-17,20.9,6.84,1.79934470913842,17.3359583333333,0.000103476484203495,0.00120191451302768
"25","26B",2016-07-18,"Auk11",26,"B","upstream",38.1545181274414,NA,3.04549703287194e-05,NA,1,NA,0,0,0,0,2016-07-18,20.87,6.48000000000003,1.62818453622998,17.6380416666667,4.95863117405636e-05,0.000635595230760373
"26","27B",2016-07-19,"Auk11",27,"B","upstream",40.1039110819499,1.05491359199059,1.30251961915443e-05,1.64156311364533e-06,3,NA,0,0,0,0,2016-07-19,20.87,6.48000000000003,1.62818453622998,18.1172916666667,2.12074230204341e-05,0.00027183584451753
"27","28B",2016-07-20,"Auk11",28,"B","upstream",40.0569559733073,0.955191433178787,1.44753030326683e-05,6.61936871599851e-06,3,NA,0,0,0,0,2016-07-20,20.86,6.36000000000001,1.57414806509705,17.7575833333333,2.27862702605683e-05,0.000301954821261461
"28","29B",2016-07-21,"Auk11",29,"B","upstream",39.6365915934245,1.34263881980291,1.55178859131411e-05,6.72625809581917e-06,3,NA,0,0,0,0,2016-07-21,20.86,6.36000000000001,1.57414806509705,17.016375,2.44274500845679e-05,0.000323703100148123
"29","30B",2016-07-22,"Auk4",30,"B","upstream",31.7241744995117,0.190255866561909,0.00425072798194985,0.000533209016568415,3,NA,5,3,0,8,2016-07-22,20.98,7.80000000000003,2.32781258009479,16.838625,0.00989489807094379,0.0891802730613078
"30","31B",2016-07-23,"Auk4",31,"B","upstream",29.0481605529785,0.0939203519006715,0.0251345336437225,0.00157166968168807,3,NA,286,233,3,522,2016-07-23,21.35,12.24,6.64205570835871,16.6765416666667,0.166944972665221,0.536622293293476
"31","32B",2016-07-24,"Auk4",32,"B","upstream",28.8949604034424,0.0873122089946514,0.0278274690111478,0.00159023855101483,3,NA,287,301,3,591,2016-07-24,21.9,18.84,23.1439845579245,15.63725,0.644038513080128,0.609421571344137
"32","33B",2016-07-25,"Auk4",33,"B","upstream",29.8569164276123,0.147261627433067,0.0146991595004996,0.00141215651034617,3,NA,127,234,2,363,2016-07-25,22.24,22.92,44.077290032508,15.08075,0.647899116537615,0.32690930729111
"33","34B",2016-07-26,"Auk4",34,"B","upstream",32.7280604044596,0.13875888440617,0.00217372248880565,0.000201635615743327,3,NA,41,55,0,96,2016-07-26,22.29,23.52,48.1481071624595,14.9742916666667,0.104660623332463,0.048452274275478
"34","35B",2016-07-27,"Auk4",35,"B","upstream",32.9513282775879,0.188465515744737,0.00187788732970754,0.000230154231073662,3,NA,34,34,0,68,2016-07-27,22.33,24,51.6187372088519,14.5962083333333,0.0969341725800063,0.0419332240723694
"35","36B",2016-07-28,"Auk4",36,"B","upstream",33.6786193847656,0.0989647935029306,0.00115295518965771,7.4911042611702e-05,3,NA,20,26,2,48,2016-07-28,22.82,29.88,113.117663988232,14.2435833333333,0.130419597737189,0.0263104374279889
"36","37B",2016-07-29,"Auk4",37,"B","upstream",34.5339177449544,0.317862245434832,0.000661506569789102,0.000143200595071223,3,NA,14,22,0,36,2016-07-29,22.47,25.68,65.3918104039851,15.2341666666667,0.0432571121926395,0.0148640526231611
"37","38B",2016-07-30,"Auk4",38,"B","upstream",34.4554087320964,0.231393863991229,0.000692098692525178,0.000110609437125949,3,NA,7,8,0,15,2016-07-30,22.16,21.96,38.1452566902645,15.8217916666667,0.0264002822813694,0.0153369070263579
"38","39B",2016-07-31,"Auk4",39,"B","upstream",35.8767801920573,0.0907281106146566,0.000266867641281957,1.58760583115415e-05,3,NA,6,5,0,11,2016-07-31,21.95,19.44,25.5754892904485,15.7174583333333,0.00682527050157397,0.00585774472613897
"39","40B",2016-08-01,"Auk4",40,"B","upstream",33.394723256429,0.105167357460106,0.0013930123920242,9.55384401069427e-05,3,NA,2,1,0,3,2016-08-01,21.8,17.64,18.8398693187806,15.594875,0.0262441714251779,0.0303676701461275
"40","41B",2016-08-02,"Auk5",41,"B","upstream",34.4776039123535,0.161218476057036,0.00105521075117091,9.95922270369846e-05,3,NA,3,2,0,5,2016-08-02,21.69,16.32,14.8767644053607,15.5545833333333,0.0156981217431733,0.0228875211928971
"41","42B",2016-08-03,"Auk5",42,"B","upstream",33.8793716430664,0.120077407957182,0.00148770508045952,0.000104267436014648,3,NA,4,5,0,9,2016-08-03,21.62,15.48,12.7268228295138,15.41775,0.0189337589815759,0.0321641838395347
"42","43B",2016-08-04,"Auk5",43,"B","upstream",30.7579714457194,0.134447297842011,0.0089951055124402,0.000711633397874141,3,NA,22,35,0,57,2016-08-04,21.78,17.4,18.0622861895354,15.812125,0.162472170070762,0.195913398060948
"43","44B",2016-08-05,"Auk5",44,"B","upstream",33.8093134562174,0.113545791931779,0.00154869382580121,9.93696110889129e-05,3,NA,5,9,0,14,2016-08-05,21.66,15.96,13.9221254892267,16.2643333333333,0.0215611097871952,0.0335447082668543
"44","45B",2016-08-06,"Auk5",45,"B","upstream",31.5917644500732,0.118333375759985,0.00556013220921159,0.000371489484074861,3,NA,8,18,1,27,2016-08-06,21.58,15,11.6157774490273,16.68775,0.0645852583293706,0.119987653074786
"45","46B",2016-08-07,"Auk5",46,"B","upstream",32.8655840555827,0.212694486506552,0.00267752368624012,0.00032427233147698,3,NA,5,4,0,9,2016-08-07,21.49,13.92,9.40044844027834,16.8674166666667,0.0251699233601242,0.0575399840173001
"46","47B",2016-08-08,"Auk5",47,"B","upstream",34.3988812764486,0.156667172019901,0.00110392877832055,9.71041148411592e-05,3,NA,10,8,0,18,2016-08-08,21.4,12.84,7.53949373196175,16.5184166666667,0.00832306410467999,0.0236240758560598
"47","48B",2016-08-09,"Auk5",48,"B","upstream",32.4259847005208,0.200555120582345,0.00344782035487394,0.000398674060841438,3,NA,3,9,1,13,2016-08-09,21.66,15.96,13.9221254892267,16.2562916666667,0.0480009876448652,0.0746797888865694
"48","49B",2016-08-10,"Auk5",49,"B","upstream",33.8972778320312,0.281381454874995,0.00148266313287119,0.00023081705109822,3,NA,9,5,0,14,2016-08-10,21.71,16.56,15.5420386200685,16.2245,0.0230436076716357,0.0321886166146336
"49","50B",2016-08-11,"Auk5",50,"B","upstream",30.7631556193034,0.0653284938127175,0.00895431637763977,0.000337424999393179,3,NA,5,7,0,12,2016-08-11,21.97,19.68,26.6040113253618,15.5187916666667,0.238220734321601,0.196726330816746
"50","51B",2016-08-12,"Auk5",51,"B","upstream",29.8643862406413,0.131430476445455,0.0150528152783712,0.00112378132516679,3,NA,2,5,0,7,2016-08-12,22.04,20.52,30.4701193540974,15.8439166666667,0.458661078147151,0.331764048735301
"51","52B",2016-08-13,"Auk5",52,"B","upstream",32.3437703450521,0.0799399663971088,0.0036016257169346,0.000167974264889303,3,NA,2,2,0,4,2016-08-13,21.98,19.8,27.1306486371505,15.863,0.0977144418486778,0.0791637332582225
"52","53B",2016-08-14,"Auk5",53,"B","upstream",30.44140625,0.0567239407299672,0.0107774877299865,0.000351373862390559,3,NA,1,5,0,6,2016-08-14,22.06,20.76,31.6541985796308,15.1095416666667,0.341152736794528,0.237751379323502
"53","54B",2016-08-15,"Auk6",54,"B","upstream",31.4806677500407,0.28121032061722,0.00490716115261118,0.000839639081155511,3,NA,0,3,0,3,2016-08-15,22.04,20.52,30.4701193540974,15.2307916666667,0.149521786009853,0.10815383180355
"54","55B",2016-08-16,"Auk6",55,"B","upstream",32.4800961812337,0.126206511252888,0.00257353554479778,0.000210784398236387,3,NA,0,2,0,2,2016-08-16,22.01,20.16,28.7612732194829,15.4553333333333,0.0740181589439798,0.0566435173409991
"55","56B",2016-08-17,"Auk6",56,"B","upstream",32.1796360015869,0.165460448293656,0.00312190083786845,0.000338702764281066,3,NA,0,1,0,1,2016-08-17,21.92,19.08,24.0931062916157,15.8276666666667,0.0752162887186488,0.0684320663660765
"56","57B",2016-08-18,"Auk6",57,"B","upstream",32.6095581054688,0.326352971472798,0.00239927958076199,0.000508404718582379,3,NA,0,0,0,0,2016-08-18,21.79,17.52,18.4477703929082,15.9765416666667,0.0442613588142903,0.0522803020648037
"57","58B",2016-08-19,"Auk6",58,"B","upstream",31.7227827707926,0.173843362039182,0.00417915692863365,0.000476141147055734,3,NA,1,2,0,3,2016-08-19,21.92,19.08,24.0931062916157,15.8447916666667,0.100688872090913,0.0916071198756496
"58","59B",2016-08-20,"Auk6",59,"B","upstream",31.1463254292806,0.123087002876734,0.00602267791206638,0.000476122366869513,3,NA,0,1,0,1,2016-08-20,21.83,18,20.0567189140916,16.097375,0.120795157992424,0.131475058820409
"59","60B",2016-08-21,"Auk6",60,"B","upstream",31.5060895284017,0.201363438561787,0.0048050278176864,0.000629252336596081,3,NA,0,2,0,2,2016-08-21,21.71,16.56,15.5420386200685,15.7439583333333,0.0746799279129852,0.104317153921972
"60","61B",2016-08-22,"Auk6",61,"B","upstream",31.9888102213542,0.226136880723779,0.00353750159653525,0.000527896022400602,3,NA,1,0,0,1,2016-08-22,21.62,15.48,12.7268228295138,16.2489583333333,0.0450211560782264,0.076480784517092
"61","62B",2016-08-23,"Auk6",62,"B","upstream",31.9135373433431,0.0560271751547783,0.00368673098273575,0.000130444550636404,3,NA,0,1,0,1,2016-08-23,21.6,15.24,12.1610596309267,16.1852916666667,0.0448345553242346,0.0796333892270923
"62","63B",2016-08-24,"Auk6",63,"B","upstream",31.4405606587728,0.149761799234324,0.00499709043651819,0.000463668362377229,3,NA,1,1,0,2,2016-08-24,21.67,16.08,14.234672414277,16.2011666666667,0.0711319453883529,0.108286949759349
"63","64B",2016-08-25,"Auk6",64,"B","upstream",32.059383392334,0.236577582773199,0.00338320946320891,0.000501272632500854,3,NA,0,1,0,1,2016-08-25,21.76,17.16,17.3108214962622,16.0029583333333,0.0585661351020747,0.073618637919426
"64","65B",2016-08-26,"Auk6",65,"B","upstream",31.1532122294108,0.0734758876677659,0.00598832794154684,0.000281974493578975,3,NA,0,0,0,0,2016-08-26,21.85,18.24,20.902623938807,15.7555833333333,0.125171766984404,0.130844965522798
"65","66B",2016-08-27,"Auk7",66,"B","upstream",31.8648726145426,0.137526325508344,0.00492179331680139,0.000393052784950229,3,NA,0,0,0,0,2016-08-27,21.9,18.84,23.1439845579245,16.5340416666667,0.113909908521347,0.10778727363795
"66","67B",2016-08-28,"Auk7",67,"B","upstream",31.1440149943034,0.159814960982597,0.00745980100085338,0.000678731342050674,3,NA,0,0,0,0,2016-08-28,21.83,18,20.0567189140916,16.86375,0.149619131829176,0.162847455848629
"67","68B",2016-08-29,"Auk7",68,"B","upstream",32.9830271402995,0.218564757220188,0.00259349045033256,0.000337357969496482,3,NA,0,0,0,0,2016-08-29,21.7,16.44,15.2064645201659,16.67975,0.0394378205163712,0.0562787427722166
"68","69B",2016-08-30,"Auk7",69,"B","upstream",32.6692199707031,0.116236072164272,0.00309505189458529,0.00020304860763739,3,NA,0,0,0,0,2016-08-30,21.58,15,11.6157774490273,16.229625,0.0359514340006932,0.0667912198851506
"69","70B",2016-08-31,"Auk7",70,"B","upstream",33.8104209899902,0.456818639127986,0.00163881329353899,0.000425851085302693,3,NA,0,0,0,0,2016-08-31,21.49,13.92,9.40044844027834,16.2905,0.015405579869156,0.0352180976781528
"70","71B",2016-09-01,"Auk7",71,"B","upstream",33.3233540852865,0.187850241184219,0.00212884640010695,0.000237002783395981,3,NA,0,0,0,0,2016-09-01,21.49,13.92,9.40044844027834,15.9037083333333,0.0200121108214775,0.0457489091382983
"71","72B",2016-09-02,"Auk7",72,"B","upstream",33.8064842224121,0.0293731979270891,0.00160552860082438,2.7190865661435e-05,3,NA,0,0,0,0,2016-09-02,21.39,12.72,7.35260512573837,16.2445833333333,0.0118048178199409,0.0343422567716334
"72","73B",2016-09-03,"Auk7",73,"B","upstream",35.080259958903,0.38666526831716,0.000783360485608379,0.000167157976167471,3,NA,0,1,0,1,2016-09-03,21.36,12.36,6.81425670792916,16.2296666666667,0.00533801944378354,0.016732579972595
"73","74B",2016-09-04,"Auk7",74,"B","upstream",33.778678894043,0.350237060365059,0.0016534086316824,0.000330038297965036,3,NA,0,0,0,0,2016-09-04,21.31,11.76,5.98800521772344,16.16025,0.00990061951354316,0.0352341379411519
"74","75B",2016-09-05,"Auk7",75,"B","upstream",34.4859987894694,0.242402939749819,0.00109272139767806,0.000158151989321502,3,NA,0,0,0,0,2016-09-05,21.25,11.04,5.10527811429492,15.823125,0.00557864663658755,0.0232203297006587
"75","76B",2016-09-06,"Auk7",76,"B","upstream",32.5425198872884,0.167725483068077,0.00333461646611492,0.00031390017357171,3,NA,0,0,0,0,2016-09-06,21.7,16.44,15.2064645201659,14.82675,0.0507077269803375,0.0723611773146937
"76","77B",2016-09-07,"Auk7",77,"B","upstream",33.8889032999674,0.340296959641998,0.00155088084284216,0.000308435604129729,3,NA,0,0,0,0,2016-09-07,22.01,20.16,28.7612732194829,14.775875,0.0446053076518454,0.034134887350956
"77","78B",2016-09-08,"Auk7",78,"B","upstream",33.7604815165202,0.0309378978619576,0.00164865027181804,2.92323357712519e-05,3,NA,0,0,0,0,2016-09-08,21.92,19.08,24.0931062916157,14.5065833333333,0.0397211062366132,0.0361384139582515
